"","DT_YEAR_COLLISION","DT_MONTH_COLLISION","DT_TIME","YEAR_MONTH_DAY","YEAR_MONTH_DAY_HOUR","TIME_DT","CD_NIS","TX_RGN_COLLISION_NL","TX_PROV_COLLISION_NL","TX_MUNTY_COLLISION_NL","LAT_WGS84","LONG_WGS84","TX_CROSSWAY_NL","TX_WEATHER_NL","TX_ROAD_CONDITION_NL","TX_BUILD_UP_AREA_NL","TX_LIGHT_CONDITION_NL","CD_ROAD_TYPE_NL","TX_CLASS_ACCIDENTS_NL","TX_ROAD_USR_TYPE1_NL","TX_ROAD_USR_TYPE2_NL","TX_COLLISION_TYPE_NL","TX_OBSTACLES_NL","HOUR"
"139","2017","06","03",2017-06-01,2017-06-01 03:00:00,2023-12-12 03:00:00,"38008","Vlaams Gewest","Provincie West-Vlaanderen","De Panne",51.0982713660001,2.58323908400007,"Buiten Kruispunt","Normaal","Droog","binnen bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Gewestweg","dodelijk gewonden","Bromfiets","één bestuurder, geen hindernis","Eén bestuurder, geen hindernis (incl. val)","Geen hindernis","03"
"140","2017","10","13",2017-10-01,2017-10-01 13:00:00,2023-12-12 13:00:00,"38008","Vlaams Gewest","Provincie West-Vlaanderen","De Panne",51.0963885460001,2.58727183400004,"Buiten Kruispunt","Normaal","Droog","binnen bebouwde kom","Dag","Gemeenteweg","Met doden","Vrachtwagen","Voetganger","Met een voetganger","Geen hindernis","13"
"141","2019","03","06",2019-03-01,2019-03-01 06:00:00,2023-12-12 06:00:00,"38008","Vlaams Gewest","Provincie West-Vlaanderen","De Panne",51.0980114320001,2.58328853200004,"Op Kruispunt","Regenval+Sterke wind, rukwind","Nat, plassen","binnen bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Gewestweg","Met doden","onbekend","onbekend","Andere of onbekend","Geen vermelding van de aanwezigheid van een hindernis","06"
"142","2017","07","14",2017-07-01,2017-07-01 14:00:00,2023-12-12 14:00:00,"11002","Vlaams Gewest","Provincie Antwerpen","Antwerpen",51.2104849680001,4.48240657300005,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Dag","Autosnelweg","dodelijk gewonden","personenauto","Vrachtwagen","Tussen 2 bestuurders: Langs achteren","Geen hindernis","14"
"143","2018","12","00",2018-12-01,2018-12-01 00:00:00,2023-12-12 00:00:00,"11002","Vlaams Gewest","Provincie Antwerpen","Antwerpen",51.2117089970001,4.47905041300004,"Op Kruispunt","Normaal","Nat, plassen","binnen bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Gemeenteweg","Met doden","personenauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Omheining","00"
"144","2017","07","14",2017-07-01,2017-07-01 14:00:00,2023-12-12 14:00:00,"23050","Vlaams Gewest","Provincie Vlaams-Brabant","Meise",50.928851298,4.33531433200005,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Dag","Autosnelweg","Met doden","Lichte vrachtauto","personenauto","Tussen 2 bestuurders: Langs achteren","Geen hindernis","14"
"145","2019","07","19",2019-07-01,2019-07-01 19:00:00,2023-12-12 19:00:00,"23050","Vlaams Gewest","Provincie Vlaams-Brabant","Meise",50.924936954,4.33579950600006,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Dag","Gewestweg","dodelijk gewonden","Bromfiets","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Andere paal","19"
"146","2017","07","01",2017-07-01,2017-07-01 01:00:00,2023-12-12 01:00:00,"63035","Waals Gewest","Provincie Luik","Herve",50.6341592910001,5.76815014400006,"Buiten Kruispunt","Normaal","Droog+Proper","buiten bebouwde kom","Nacht, geen openbare verlichting aanwezig","Autosnelweg","Met doden","personenauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Boom","01"
"147","2019","01","12",2019-01-01,2019-01-01 12:00:00,2023-12-12 12:00:00,"63035","Waals Gewest","Provincie Luik","Herve",50.636993241,5.76516883600004,"Buiten Kruispunt","Normaal","Proper","buiten bebouwde kom","Dag","Gewestweg","Met doden","personenauto","Vrachtwagen","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis","12"
"148","2017","07","13",2017-07-01,2017-07-01 13:00:00,2023-12-12 13:00:00,"25112","Waals Gewest","Provincie Waals-Brabant","Waver",50.7156691690001,4.60604586900007,"Buiten Kruispunt","Regenval","Nat, plassen","binnen bebouwde kom","Dag","Gemeenteweg","Met doden","Voetganger","Autobus","Met een voetganger","Geen hindernis","13"
