"","TX_MUNTY_COLLISION_NL","CD_NIS","CD_ROAD_TYPE_NL","_2017","_2018","_2019","_2020","_2022","_2021","Totaal"
"370","Graven","25037","Gewestweg",0,1,0,0,1,1,2
"371","Grimbergen","23025","Autosnelweg",0,1,1,0,2,0,4
"372","Grimbergen","23025","Gemeenteweg",0,1,0,0,0,0,1
"373","Grimbergen","23025","Gewestweg",0,1,0,0,0,0,1
"374","Grobbendonk","13010","Autosnelweg",0,1,0,1,0,0,2
"375","Grobbendonk","13010","Gemeenteweg",0,0,0,1,1,1,2
"376","Grâce-Hollogne","62118","Autosnelweg",2,1,3,2,0,0,8
"377","Grâce-Hollogne","62118","Gemeenteweg",0,1,0,0,0,0,1
"378","Haacht","24033","Gemeenteweg",0,0,1,0,0,0,1
"379","Haaltert","41024","Gemeenteweg",0,1,0,1,0,0,2
"380","Haaltert","41024","Gewestweg",0,1,0,0,0,0,1
"381","Habay","85046","Autosnelweg",1,0,0,1,0,1,2
"382","Habay","85046","Gewestweg",0,0,1,0,0,0,1
"383","Halen","71020","Gemeenteweg",0,0,0,0,0,1,0
"384","Halle (Halle-Vilvoorde)","23027","Autosnelweg",2,0,1,0,0,1,3
"385","Halle (Halle-Vilvoorde)","23027","Gemeenteweg",1,0,0,0,0,0,1
"386","Halle (Halle-Vilvoorde)","23027","Gewestweg",0,0,2,1,1,0,4
"387","Ham","71069","Autosnelweg",0,0,0,0,0,1,0
"388","Ham","71069","Gemeenteweg",0,0,0,0,0,1,0
"389","Ham","71069","Gewestweg",0,0,2,0,1,0,3
"390","Hamme (Dendermonde)","42008","Gemeenteweg",0,0,0,0,0,1,0
"391","Hamoir","61024","Gewestweg",2,0,0,1,0,0,3
"392","Hamois","91059","Gemeenteweg",0,2,0,1,0,0,3
"393","Hamois","91059","Gewestweg",1,0,0,1,3,0,5
"394","Hamont-Achel","72037","Gemeenteweg",0,2,0,0,2,1,4
"395","Hamont-Achel","72037","Gewestweg",0,2,0,0,0,0,2
"396","Hannuit","64034","Gemeenteweg",0,0,0,0,1,0,1
"397","Hannuit","64034","Gewestweg",1,1,0,0,0,0,2
"398","Harelbeke","34013","Autosnelweg",0,0,0,0,0,1,0
"399","Harelbeke","34013","Gemeenteweg",0,2,0,1,1,0,4
"400","Harelbeke","34013","Gewestweg",2,0,0,0,0,1,2
"401","Hasselt","71022","Autosnelweg",1,0,0,0,1,0,2
"402","Hasselt","71022","Gemeenteweg",1,0,2,0,0,3,3
"403","Hasselt","71022","Gewestweg",2,2,0,0,1,4,5
"404","Hastière","91142","Gemeenteweg",0,0,0,0,1,0,1
"405","Hastière","91142","Gewestweg",2,1,2,1,0,0,6
"406","Havelange","91064","Gewestweg",2,0,0,0,1,0,3
"407","Hechtel-Eksel","72038","Gemeenteweg",0,0,0,0,1,0,1
"408","Hechtel-Eksel","72038","Gewestweg",1,1,2,0,0,0,4
"409","Heers","73022","Gemeenteweg",0,0,0,1,0,0,1
"410","Heers","73022","Gewestweg",0,0,0,1,0,1,1
"411","Heist-op-den-Berg","12014","Gemeenteweg",0,1,1,1,2,0,5
"412","Heist-op-den-Berg","12014","Gewestweg",0,0,0,0,1,1,1
"413","Hemiksem","11018","Gemeenteweg",0,1,0,0,0,0,1
"414","Hensies","53039","Autosnelweg",0,1,0,0,0,0,1
"415","Hensies","53039","Gewestweg",1,1,1,0,0,0,3
"416","Herbeumont","84029","Gemeenteweg",0,0,0,0,0,1,0
"417","Herbeumont","84029","Gewestweg",1,0,1,0,0,0,2
"418","Herent","24038","Gemeenteweg",0,1,0,0,0,0,1
"419","Herent","24038","Gewestweg",0,1,1,0,0,0,2
"420","Herentals","13011","Autosnelweg",0,1,0,0,1,0,2
"421","Herentals","13011","Gemeenteweg",0,0,1,0,0,1,1
"422","Herentals","13011","Gewestweg",1,2,0,0,0,1,3
"423","Herk-de-Stad","71024","Gewestweg",2,0,0,1,0,1,3
"424","Herne","23032","Gewestweg",0,0,0,0,0,1,0
"425","Herselt","13013","Gemeenteweg",1,0,0,0,0,1,1
"426","Herselt","13013","Gewestweg",0,0,1,0,0,0,1
"427","Herstal","62051","Autosnelweg",1,0,0,1,0,1,2
"428","Herstal","62051","Gemeenteweg",0,0,0,1,0,2,1
"429","Herstal","62051","Gewestweg",1,2,0,0,1,0,4
"430","Herstal","62051","onbekend",0,1,0,0,0,0,1
"431","Herve","63035","Autosnelweg",1,1,1,0,0,0,3
"432","Herve","63035","Gemeenteweg",0,0,2,1,0,0,3
"433","Herve","63035","Gewestweg",1,0,1,2,1,3,5
"434","Herzele","41027","Gemeenteweg",0,1,0,0,0,1,1
"435","Herzele","41027","Gewestweg",0,0,0,0,1,0,1
"436","Herzele","41027","onbekend",1,0,0,0,0,0,1
"437","Heusden-Zolder","71070","Gemeenteweg",0,2,0,1,0,1,3
"438","Heusden-Zolder","71070","Gewestweg",0,0,0,1,1,1,2
"439","Heuvelland","33039","Gemeenteweg",0,1,0,0,0,0,1
"440","Heuvelland","33039","Gewestweg",0,0,1,1,0,1,2
"441","Hoegaarden","24041","Gemeenteweg",1,0,0,0,0,0,1
"442","Hoei","61031","Gemeenteweg",0,1,1,0,0,0,2
"443","Hoei","61031","Gewestweg",1,0,2,1,1,0,5
"444","Hoeilaart","23033","Gemeenteweg",0,0,0,0,1,1,1
"445","Hoeilaart","23033","Gewestweg",0,2,0,0,0,1,2
"446","Hoeselt","73032","Autosnelweg",0,0,0,0,1,0,1
"447","Holsbeek","24043","Gemeenteweg",0,0,0,1,0,0,1
"448","Hooglede","36006","Gemeenteweg",0,0,1,1,1,0,3
"449","Hoogstraten","13014","Autosnelweg",0,0,0,1,2,1,3
"450","Hoogstraten","13014","Gemeenteweg",0,1,0,0,1,0,2
"451","Hoogstraten","13014","Gewestweg",0,2,0,1,2,0,5
"452","Hotton","83028","Gewestweg",0,1,0,0,0,0,1
"453","Houffalize","82014","Autosnelweg",0,0,0,0,0,1,0
"454","Houffalize","82014","Gemeenteweg",0,0,1,0,1,0,2
"455","Houffalize","82014","Gewestweg",1,0,1,0,1,1,3
"456","Houthalen-Helchteren","72039","Autosnelweg",0,0,0,0,2,1,2
"457","Houthalen-Helchteren","72039","Gemeenteweg",1,0,1,2,2,0,6
"458","Houthalen-Helchteren","72039","Gewestweg",0,2,1,0,1,1,4
"459","Houthulst","32006","Gemeenteweg",2,0,0,2,0,0,4
"460","Houthulst","32006","Gewestweg",1,0,0,0,1,0,2
"461","Houyet","91072","Gemeenteweg",1,0,0,0,0,0,1
"462","Houyet","91072","Gewestweg",0,0,2,0,1,0,3
"463","Hulshout","13016","Gewestweg",1,0,0,0,1,0,2
"464","Hélécine","25118","Autosnelweg",0,0,1,0,0,0,1
"465","Hélécine","25118","Gewestweg",1,0,0,0,0,0,1
"466","Héron","61028","Autosnelweg",1,0,0,0,0,0,1
"467","Ichtegem","35006","Gemeenteweg",0,0,0,0,1,0,1
"468","Ichtegem","35006","Gewestweg",0,1,1,2,0,1,4
"469","Ieper","33011","Gemeenteweg",3,1,1,2,0,0,7
"470","Ieper","33011","Gewestweg",2,2,0,1,1,1,6
"471","Ieper","33011","onbekend",1,0,0,0,0,0,1
"472","Incourt","25043","Gewestweg",1,0,0,0,0,0,1
