"TX_MUNTY_COLLISION_NL","CD_NIS","CD_ROAD_TYPE_NL","_2017","_2018","_2019","_2020","_2022","_2021","Totaal"
"Zemst","23096","Gewestweg",1,0,0,0,0,0,1
"Zinnik","55040","Gewestweg",2,1,0,2,1,0,6
"Zoersel","11055","Gewestweg",1,0,1,0,1,0,3
"Zonhoven","71066","Gewestweg",0,2,1,1,1,1,6
"Zonnebeke","33037","Gewestweg",1,0,0,0,0,0,1
"Zottegem","41081","Gewestweg",1,0,0,2,1,0,4
"Zoutleeuw","24130","Gewestweg",0,1,0,0,0,0,1
"Zuienkerke","31042","Gewestweg",2,0,0,0,0,1,3
"Zulte","44081","Gewestweg",0,0,1,0,1,0,2
"Zutendaal","71067","Gewestweg",0,0,0,0,1,0,1
"Zwalm","45065","Gewestweg",2,0,0,3,0,0,5
"Zwevegem","34042","Gewestweg",0,0,0,1,1,1,3
"Zwijndrecht","11056","Gewestweg",1,0,1,0,0,0,2
"’s Gravenbrakel","55004","Gewestweg",3,0,0,1,0,2,6
