"TX_MUNTY_COLLISION_NL","CD_NIS","CD_ROAD_TYPE_NL","_2017","_2018","_2019","_2020","_2022","_2021","Totaal"
"Bernissart","51009","Gewestweg",1,1,0,1,0,1,4
"Bertogne","82005","Gewestweg",0,1,2,0,1,0,4
"Bertrix","84009","Gewestweg",2,0,0,2,1,2,7
"Bevekom","25005","Gewestweg",0,0,1,0,1,0,2
"Beveren (Sint-Niklaas)","46003","Gewestweg",0,1,0,1,1,0,3
"Bilzen","73006","Gewestweg",1,0,0,1,0,2,4
"Binche","58002","Gewestweg",1,0,0,1,1,0,3
"Bitsingen","62011","Gewestweg",0,1,0,0,0,1,2
"Blankenberge","31004","Gewestweg",1,0,0,1,0,0,2
"Bocholt","72003","Gewestweg",1,0,2,1,0,0,4
"Boechout","11004","Gewestweg",0,0,0,1,0,0,1
"Bonheiden","12005","Gewestweg",0,0,0,0,1,0,1
"Boortmeerbeek","24014","Gewestweg",0,1,0,0,0,0,1
"Borgloon","73009","Gewestweg",0,1,1,0,0,0,2
"Borgworm","64074","Gewestweg",1,0,0,0,0,0,1
"Bornem","12007","Gewestweg",1,0,1,0,0,1,3
"Bouillon","84010","Gewestweg",1,0,2,0,0,0,3
"Boussu","53014","Gewestweg",0,1,1,0,3,0,5
"Boutersem","24016","Gewestweg",0,0,0,0,0,1,1
"Braives","64015","Gewestweg",0,1,0,0,1,0,2
"Brakel","45059","Gewestweg",0,1,1,1,0,0,3
"Brasschaat","11008","Gewestweg",1,0,0,0,0,2,3
"Brecht","11009","Gewestweg",3,2,1,3,1,1,11
"Bredene","35002","Gewestweg",0,0,1,0,0,1,2
"Bree","72004","Gewestweg",2,1,2,2,0,4,11
"Brugge","31005","Gewestweg",6,3,4,0,4,3,20
"Brussel","21004","Gewestweg",4,3,3,2,6,2,20
"Buggenhout","42004","Gewestweg",0,0,0,0,1,0,1
"Burdinne","61010","Gewestweg",0,0,0,0,0,1,1
"Burg-Reuland","63087","Gewestweg",1,0,0,0,0,0,1
"Büllingen","63012","Gewestweg",0,0,0,2,1,0,3
"Bütgenbach","63013","Gewestweg",0,2,0,0,1,0,3
"Cerfontaine","93010","Gewestweg",0,2,0,1,1,0,4
"Chapelle-lez-Herlaimont","52010","Gewestweg",2,0,0,0,0,0,2
"Charleroi","52011","Gewestweg",1,3,4,0,3,4,15
"Chaudfontaine","62022","Gewestweg",1,0,1,1,1,0,4
"Chaumont-Gistoux","25018","Gewestweg",1,0,0,1,1,0,3
"Chimay","56016","Gewestweg",1,2,0,2,0,2,7
"Chiny","85007","Gewestweg",0,1,0,0,3,0,4
"Chièvres","51014","Gewestweg",0,0,0,0,1,1,2
"Châtelet","52012","Gewestweg",1,1,1,0,3,0,6
"Ciney","91030","Gewestweg",2,0,1,2,5,0,10
"Clavier","61012","Gewestweg",0,2,1,1,0,0,4
"Comblain-au-Pont","62026","Gewestweg",0,0,1,1,1,0,3
"Courcelles","52015","Gewestweg",1,0,0,2,1,0,4
"Court-Saint-Etienne","25023","Gewestweg",0,0,0,0,1,2,3
"Couvin","93014","Gewestweg",3,1,1,0,1,0,6
"Crisnée","64021","Gewestweg",1,1,0,0,0,0,2
"Dalhem","62027","Gewestweg",0,1,0,0,0,0,1
"Damme","31006","Gewestweg",0,1,0,0,0,0,1
"De Haan","35029","Gewestweg",0,0,0,0,2,1,3
"De Panne","38008","Gewestweg",2,0,1,0,0,0,3
"Deerlijk","34009","Gewestweg",1,0,0,0,0,0,1
"Deinze","44083","Gewestweg",0,1,0,0,0,0,1
"Dendermonde","42006","Gewestweg",0,1,1,0,1,1,4
"Dentergem","37002","Gewestweg",0,0,0,0,1,0,1
"Dessel","13006","Gewestweg",1,0,0,0,0,0,1
"Destelbergen","44013","Gewestweg",0,0,1,0,0,0,1
"Diepenbeek","71011","Gewestweg",1,0,0,1,0,0,2
"Diest","24020","Gewestweg",1,0,1,0,2,1,5
"Diksmuide","32003","Gewestweg",1,2,0,0,0,1,4
"Dilbeek","23016","Gewestweg",0,0,1,0,0,0,1
"Dilsen-Stokkem","72041","Gewestweg",1,0,1,0,2,1,5
