"","DT_YEAR_COLLISION","DT_MONTH_COLLISION","DT_TIME","YEAR_MONTH_DAY","YEAR_MONTH_DAY_HOUR","TIME_DT","CD_NIS","TX_RGN_COLLISION_NL","TX_PROV_COLLISION_NL","TX_MUNTY_COLLISION_NL","LAT_WGS84","LONG_WGS84","TX_CROSSWAY_NL","TX_WEATHER_NL","TX_ROAD_CONDITION_NL","TX_BUILD_UP_AREA_NL","TX_LIGHT_CONDITION_NL","CD_ROAD_TYPE_NL","TX_CLASS_ACCIDENTS_NL","TX_ROAD_USR_TYPE1_NL","TX_ROAD_USR_TYPE2_NL","TX_COLLISION_TYPE_NL","TX_OBSTACLES_NL"
"2561","2021","09","22",2021-09-01,2021-09-01 22:00:00,2024-01-02 22:00:00,"11057","Vlaams Gewest","Provincie Antwerpen","Malle",51.310024841,4.73704783900007,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Gewestweg","dodelijk gewonden","personenauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Boom"
"2562","2021","09","15",2021-09-01,2021-09-01 15:00:00,2024-01-02 15:00:00,"11039","Vlaams Gewest","Provincie Antwerpen","Schilde",51.282916965,4.61417313200008,"Buiten Kruispunt","Onbekend","Droog","buiten bebouwde kom","Dag","Gemeenteweg","dodelijk gewonden","Motorfiets","personenauto","Tussen 2 bestuurders: Frontale botsing","Geen hindernis"
"2563","2021","09","03",2021-09-01,2021-09-01 03:00:00,2024-01-02 03:00:00,"13025","Vlaams Gewest","Provincie Antwerpen","Mol",51.1708981780001,5.08925536700002,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Nacht, geen openbare verlichting aanwezig","Gewestweg","Met doden","Vrachtwagen","Lichte vrachtauto","Tussen 2 bestuurders: Langs achteren","Geen hindernis"
"2564","2021","09","17",2021-09-01,2021-09-01 17:00:00,2024-01-02 17:00:00,"13011","Vlaams Gewest","Provincie Antwerpen","Herentals",51.1242344010001,4.81162751300008,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Dag","Gemeenteweg","Met doden","Motorfiets","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Gracht"
"2565","2021","09","18",2021-09-01,2021-09-01 18:00:00,2024-01-02 18:00:00,"71070","Vlaams Gewest","Provincie Limburg","Heusden-Zolder",51.0398232480001,5.30145377600007,"Buiten Kruispunt","Normaal","Droog","binnen bebouwde kom","Dag","Gewestweg","Met doden","Vrachtwagen","Voetganger","Met een voetganger","Geen hindernis"
"2566","2021","09","08",2021-09-01,2021-09-01 08:00:00,2024-01-02 08:00:00,"71053","Vlaams Gewest","Provincie Limburg","Sint-Truiden",50.838614213,5.25948314900006,"Buiten Kruispunt","Normaal","Droog","binnen bebouwde kom","Dag","Gewestweg","dodelijk gewonden","Voetganger","Autobus","Met een voetganger","Geen hindernis"
"2567","2021","09","20",2021-09-01,2021-09-01 20:00:00,2024-01-02 20:00:00,"72041","Vlaams Gewest","Provincie Limburg","Dilsen-Stokkem",51.01566962,5.72578368600006,"Op Kruispunt","Normaal","Droog","buiten bebouwde kom","Dag","Gewestweg","Met doden","personenauto","Motorfiets","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis"
"2568","2021","09","15",2021-09-01,2021-09-01 15:00:00,2024-01-02 15:00:00,"24008","Vlaams Gewest","Provincie Vlaams-Brabant","Bekkevoort",50.9444364930001,4.97367864300003,"Buiten Kruispunt","Normaal","Droog","binnen bebouwde kom","Dag","Gewestweg","dodelijk gewonden","Vrachtwagen","Fiets","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis"
"2569","2021","09","18",2021-09-01,2021-09-01 18:00:00,2024-01-02 18:00:00,"23099","Vlaams Gewest","Provincie Vlaams-Brabant","Kraainem",50.8316409220001,4.48520336100006,"Op Kruispunt","Normaal","Droog","buiten bebouwde kom","Dag","Gewestweg","dodelijk gewonden","personenauto","personenauto","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis"
"2570","2021","09","15",2021-09-01,2021-09-01 15:00:00,2024-01-02 15:00:00,"23024","Vlaams Gewest","Provincie Vlaams-Brabant","Gooik",50.7797635650001,4.13173134500005,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Dag","Gemeenteweg","Met doden","Andere weggebruiker","één bestuurder, geen hindernis","Eén bestuurder, geen hindernis (incl. val)","Geen hindernis"
"2571","2021","09","01",2021-09-01,2021-09-01 01:00:00,2024-01-02 01:00:00,"23088","Vlaams Gewest","Provincie Vlaams-Brabant","Vilvoorde",50.9122024590001,4.41960002400003,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Gewestweg","Met doden","Vrachtwagen","personenauto","Tussen 2 bestuurders: Langs achteren","Geen hindernis"
"2572","2021","09","18",2021-09-01,2021-09-01 18:00:00,2024-01-02 18:00:00,"44021","Vlaams Gewest","Provincie Oost-Vlaanderen","Gent",51.0253197230001,3.72711236100002,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Dag","Gemeenteweg","dodelijk gewonden","personenauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Andere paal"
"2573","2021","09","09",2021-09-01,2021-09-01 09:00:00,2024-01-02 09:00:00,"42028","Vlaams Gewest","Provincie Oost-Vlaanderen","Zele",51.067606072,4.03683233500004,"Buiten Kruispunt","Normaal","Droog","binnen bebouwde kom","Dag","Gewestweg","dodelijk gewonden","personenauto","personenauto","Tussen 2 bestuurders: Langs achteren","Geen hindernis"
"2574","2021","09","15",2021-09-01,2021-09-01 15:00:00,2024-01-02 15:00:00,"42006","Vlaams Gewest","Provincie Oost-Vlaanderen","Dendermonde",51.032297772,4.17420794100002,"Op Kruispunt","Normaal","Droog","buiten bebouwde kom","Dag","Gewestweg","Met doden","Vrachtwagen","Fiets","Tussen 2 bestuurders: Flank tegen flank","Geen hindernis"
"2575","2021","09","03",2021-09-01,2021-09-01 03:00:00,2024-01-02 03:00:00,"31005","Vlaams Gewest","Provincie West-Vlaanderen","Brugge",NA,NA,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Gemeenteweg","Met doden","personenauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Boom"
"2576","2021","09","13",2021-09-01,2021-09-01 13:00:00,2024-01-02 13:00:00,"31005","Vlaams Gewest","Provincie West-Vlaanderen","Brugge",NA,NA,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Dag","Gewestweg","Met doden","Fiets","personenauto","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis"
"2577","2021","09","10",2021-09-01,2021-09-01 10:00:00,2024-01-02 10:00:00,"31043","Vlaams Gewest","Provincie West-Vlaanderen","Knokke-Heist",51.341108773,3.28558506800005,"Op Kruispunt","Normaal","Droog+Proper","binnen bebouwde kom","Dag","Gewestweg","Met doden","Vrachtwagen","Fiets","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis"
"2578","2021","09","22",2021-09-01,2021-09-01 22:00:00,2024-01-02 22:00:00,"35011","Vlaams Gewest","Provincie West-Vlaanderen","Middelkerke",NA,NA,"Buiten Kruispunt","Normaal","Droog","binnen bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Gemeenteweg","Met doden","Bromfiets","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis op de rijbaan","Op de rijbaan: Put, straatgoot, tramspoor"
"2579","2021","09","19",2021-09-01,2021-09-01 19:00:00,2024-01-02 19:00:00,"37002","Vlaams Gewest","Provincie West-Vlaanderen","Dentergem",50.973028883,3.38958035700006,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Dageraad - schemering","Gemeenteweg","Met doden","Fiets","Fiets","Tussen 2 bestuurders: Flank tegen flank","Geen hindernis"
"2580","2021","09","16",2021-09-01,2021-09-01 16:00:00,2024-01-02 16:00:00,"34043","Vlaams Gewest","Provincie West-Vlaanderen","Spiere-Helkijn",NA,NA,"Buiten Kruispunt","Normaal","Droog+Proper","buiten bebouwde kom","Dag","Gewestweg","dodelijk gewonden","Motorfiets","personenauto","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis"
"2581","2021","09","13",2021-09-01,2021-09-01 13:00:00,2024-01-02 13:00:00,"38025","Vlaams Gewest","Provincie West-Vlaanderen","Veurne",51.075484305,2.66250163100006,"Op Kruispunt","Normaal","Droog","binnen bebouwde kom","Dag","Gewestweg","dodelijk gewonden","personenauto","Voetganger","Met een voetganger","Geen hindernis"
"2582","2021","09","18",2021-09-01,2021-09-01 18:00:00,2024-01-02 18:00:00,"33011","Vlaams Gewest","Provincie West-Vlaanderen","Ieper",50.8232632720001,2.89141767300003,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Dag","Gewestweg","Met doden","personenauto","personenauto","Tussen 2 bestuurders: Frontale botsing","Geen hindernis"
