"TX_MUNTY_COLLISION_NL","CD_NIS","CD_ROAD_TYPE_NL","_2017","_2018","_2019","_2020","_2022","_2021","Totaal"
"Ganshoren","21008","Gemeenteweg",0,1,0,0,0,0,1
"Gavere","44020","Gemeenteweg",0,1,0,0,0,1,2
"Geel","13008","Gemeenteweg",1,0,1,2,0,2,6
"Geer","64029","Gemeenteweg",0,0,0,0,1,0,1
"Geetbets","24028","Gemeenteweg",0,0,1,0,0,1,2
"Geldenaken","25048","Gemeenteweg",0,0,1,0,0,0,1
"Gembloux","92142","Gemeenteweg",0,0,1,0,0,1,2
"Genepiën","25031","Gemeenteweg",0,0,1,0,0,0,1
"Genk","71016","Gemeenteweg",0,0,0,1,1,0,2
"Gent","44021","Gemeenteweg",1,1,2,6,4,6,20
"Geraardsbergen","41018","Gemeenteweg",1,1,0,0,1,0,3
"Gerpinnes","52025","Gemeenteweg",1,0,0,1,0,1,3
"Gesves","92054","Gemeenteweg",0,0,1,0,0,0,1
"Gooik","23024","Gemeenteweg",0,0,0,0,0,1,1
"Grimbergen","23025","Gemeenteweg",0,1,0,0,0,0,1
"Grobbendonk","13010","Gemeenteweg",0,0,0,1,1,1,3
"Grâce-Hollogne","62118","Gemeenteweg",0,1,0,0,0,0,1
"Haacht","24033","Gemeenteweg",0,0,1,0,0,0,1
"Haaltert","41024","Gemeenteweg",0,1,0,1,0,0,2
"Halen","71020","Gemeenteweg",0,0,0,0,0,1,1
"Halle (Halle-Vilvoorde)","23027","Gemeenteweg",1,0,0,0,0,0,1
"Ham","71069","Gemeenteweg",0,0,0,0,0,1,1
"Hamme (Dendermonde)","42008","Gemeenteweg",0,0,0,0,0,1,1
"Hamois","91059","Gemeenteweg",0,2,0,1,0,0,3
"Hamont-Achel","72037","Gemeenteweg",0,2,0,0,2,1,5
"Hannuit","64034","Gemeenteweg",0,0,0,0,1,0,1
"Harelbeke","34013","Gemeenteweg",0,2,0,1,1,0,4
"Hasselt","71022","Gemeenteweg",1,0,2,0,0,3,6
"Hastière","91142","Gemeenteweg",0,0,0,0,1,0,1
"Hechtel-Eksel","72038","Gemeenteweg",0,0,0,0,1,0,1
"Heers","73022","Gemeenteweg",0,0,0,1,0,0,1
"Heist-op-den-Berg","12014","Gemeenteweg",0,1,1,1,2,0,5
"Hemiksem","11018","Gemeenteweg",0,1,0,0,0,0,1
"Herbeumont","84029","Gemeenteweg",0,0,0,0,0,1,1
"Herent","24038","Gemeenteweg",0,1,0,0,0,0,1
"Herentals","13011","Gemeenteweg",0,0,1,0,0,1,2
"Herselt","13013","Gemeenteweg",1,0,0,0,0,1,2
"Herstal","62051","Gemeenteweg",0,0,0,1,0,2,3
"Herve","63035","Gemeenteweg",0,0,2,1,0,0,3
"Herzele","41027","Gemeenteweg",0,1,0,0,0,1,2
"Heusden-Zolder","71070","Gemeenteweg",0,2,0,1,0,1,4
"Heuvelland","33039","Gemeenteweg",0,1,0,0,0,0,1
"Hoegaarden","24041","Gemeenteweg",1,0,0,0,0,0,1
"Hoei","61031","Gemeenteweg",0,1,1,0,0,0,2
"Hoeilaart","23033","Gemeenteweg",0,0,0,0,1,1,2
"Holsbeek","24043","Gemeenteweg",0,0,0,1,0,0,1
"Hooglede","36006","Gemeenteweg",0,0,1,1,1,0,3
"Hoogstraten","13014","Gemeenteweg",0,1,0,0,1,0,2
"Houffalize","82014","Gemeenteweg",0,0,1,0,1,0,2
"Houthalen-Helchteren","72039","Gemeenteweg",1,0,1,2,2,0,6
"Houthulst","32006","Gemeenteweg",2,0,0,2,0,0,4
"Houyet","91072","Gemeenteweg",1,0,0,0,0,0,1
"Ichtegem","35006","Gemeenteweg",0,0,0,0,1,0,1
"Ieper","33011","Gemeenteweg",3,1,1,2,0,0,7
"Ingelmunster","36007","Gemeenteweg",1,0,0,0,0,0,1
"Itter","25044","Gemeenteweg",0,0,0,0,0,1,1
"Jabbeke","31012","Gemeenteweg",0,0,0,0,1,0,1
"Jalhay","63038","Gemeenteweg",0,0,0,0,1,0,1
"Jemeppe-sur-Sambre","92140","Gemeenteweg",0,2,0,0,0,0,2
"Jette","21010","Gemeenteweg",0,0,0,1,1,0,2
"Juprelle","62060","Gemeenteweg",0,0,0,0,1,0,1
"Jurbeke","53044","Gemeenteweg",1,1,0,0,0,0,2
"Kapelle-op-den-Bos","23039","Gemeenteweg",0,1,0,0,0,0,1
"Kapellen (Antwerpen)","11023","Gemeenteweg",0,1,1,0,0,0,2
"Kaprijke","43007","Gemeenteweg",0,0,1,0,0,0,1
"Kasteelbrakel","25015","Gemeenteweg",0,0,1,2,0,0,3
"Kasterlee","13017","Gemeenteweg",0,0,1,0,1,0,2
"Keerbergen","24048","Gemeenteweg",0,1,0,0,1,1,3
"Kelmis","63040","Gemeenteweg",1,0,0,0,0,0,1
"Kluisbergen","45060","Gemeenteweg",0,0,2,0,1,0,3
"Knokke-Heist","31043","Gemeenteweg",0,2,0,3,0,0,5
"Koekelberg","21011","Gemeenteweg",0,0,2,0,0,0,2
"Koksijde","38014","Gemeenteweg",0,1,0,0,0,0,1
"Komen-Waasten","57097","Gemeenteweg",0,1,0,2,1,2,6
"Kontich","11024","Gemeenteweg",0,0,0,0,1,0,1
"Kortemark","32011","Gemeenteweg",1,0,2,0,0,0,3
"Kortenaken","24054","Gemeenteweg",0,0,1,0,0,0,1
"Kortenberg","24055","Gemeenteweg",0,0,0,0,0,1,1
"Kortrijk","34022","Gemeenteweg",0,0,1,0,0,3,4
"Kraainem","23099","Gemeenteweg",0,0,1,0,0,0,1
"Kruibeke","46013","Gemeenteweg",0,0,0,1,0,1,2
"Kruisem","45068","Gemeenteweg",0,1,0,0,1,0,2
"Kuurne","34023","Gemeenteweg",0,1,0,0,0,0,1
"La Bruyère","92141","Gemeenteweg",0,0,1,0,0,0,1
"La Louvière","58001","Gemeenteweg",3,0,3,0,1,0,7
"La Roche-en-Ardenne","83031","Gemeenteweg",0,0,0,0,1,0,1
"Laakdal","13053","Gemeenteweg",0,0,1,0,0,0,1
"Lanaken","73042","Gemeenteweg",0,2,0,1,0,1,4
"Landen","24059","Gemeenteweg",1,0,1,0,0,0,2
"Langemark-Poelkapelle","33040","Gemeenteweg",0,1,1,1,0,0,3
"Le Roeulx","55035","Gemeenteweg",0,1,0,1,1,0,3
"Lebbeke","42011","Gemeenteweg",1,0,0,0,0,0,1
"Lendelede","34025","Gemeenteweg",1,0,0,0,0,0,1
"Lennik","23104","Gemeenteweg",1,0,0,0,0,0,1
"Lens","53046","Gemeenteweg",0,0,1,0,0,0,1
"Les Bons Villers","52075","Gemeenteweg",0,0,0,0,1,0,1
"Lessen","51069","Gemeenteweg",0,1,0,0,0,0,1
"Leuven","24062","Gemeenteweg",1,2,1,0,1,1,6
"Leuze-en-Hainaut","57094","Gemeenteweg",0,0,0,2,0,1,3
"Libin","84035","Gemeenteweg",0,0,1,0,1,0,2
"Libramont-Chevigny","84077","Gemeenteweg",0,1,1,0,0,0,2
"Lier","12021","Gemeenteweg",1,0,0,0,0,0,1
"Lierde","45063","Gemeenteweg",0,0,0,0,1,0,1
"Lievegem","44085","Gemeenteweg",1,0,0,0,1,0,2
"Lille","13019","Gemeenteweg",0,0,0,0,0,1,1
"Lobbes","56044","Gemeenteweg",0,0,2,0,1,0,3
