"TX_MUNTY_COLLISION_NL","CD_NIS","CD_ROAD_TYPE_NL","_2017","_2018","_2019","_2020","_2022","_2021","Totaal"
"Stekene","46024","Autosnelweg",0,1,1,0,0,0,2
"Tellin","84068","Autosnelweg",0,0,1,0,0,0,1
"Temse","46025","Autosnelweg",0,1,0,2,0,1,4
"Ternat","23086","Autosnelweg",0,0,0,1,0,0,1
"Tervuren","24104","Autosnelweg",0,0,0,0,1,0,1
"Tessenderlo","71057","Autosnelweg",0,1,0,0,0,0,1
"Theux","63076","Autosnelweg",1,0,0,0,0,0,1
"Tielt-Winge","24135","Autosnelweg",0,0,0,0,2,0,2
"Tienen","24107","Autosnelweg",0,0,0,0,0,2,2
"Tongeren","73083","Autosnelweg",0,0,0,0,0,1,1
"Torhout","31033","Autosnelweg",0,0,1,0,1,0,2
"Turnhout","13040","Autosnelweg",1,0,0,0,0,0,1
"Vaux-sur-Sûre","82036","Autosnelweg",0,1,1,0,0,0,2
"Verviers","63079","Autosnelweg",1,0,0,0,0,0,1
"Veurne","38025","Autosnelweg",0,1,0,0,0,0,1
"Vielsalm","82032","Autosnelweg",0,0,0,0,0,1,1
"Villers-Le-Bouillet","61068","Autosnelweg",0,0,0,1,0,0,1
"Vilvoorde","23088","Autosnelweg",1,0,0,0,0,0,1
"Vorselaar","13044","Autosnelweg",0,0,0,1,0,0,1
"Vorst (Brussel-Hoofdstad)","21007","Autosnelweg",1,0,0,0,0,0,1
"Waasmunster","42023","Autosnelweg",1,0,3,0,1,0,5
"Wachtebeke","44073","Autosnelweg",0,1,0,0,0,0,1
"Walhain","25124","Autosnelweg",0,0,0,1,0,0,1
"Wanze","61072","Autosnelweg",1,0,0,1,0,0,2
"Waregem","34040","Autosnelweg",0,0,0,0,1,0,1
"Waterloo","25110","Autosnelweg",0,0,2,0,1,0,3
"Waver","25112","Autosnelweg",0,0,0,0,0,1,1
"Welkenraedt","63084","Autosnelweg",0,0,0,0,0,1,1
"Wellin","84075","Autosnelweg",0,1,0,0,0,0,1
"Wemmel","23102","Autosnelweg",0,1,0,0,1,0,2
"Wervik","33029","Autosnelweg",0,0,1,0,1,0,2
"Westerlo","13049","Autosnelweg",1,0,0,0,0,0,1
"Wetteren","42025","Autosnelweg",0,0,0,0,0,1,1
"Wevelgem","34041","Autosnelweg",1,0,1,0,0,1,3
"Wezet","62108","Autosnelweg",2,1,2,1,0,0,6
"Willebroek","12040","Autosnelweg",0,0,1,0,0,0,1
"Zandhoven","11054","Autosnelweg",1,1,1,0,0,1,4
"Zaventem","23094","Autosnelweg",1,0,2,0,0,2,5
"Zedelgem","31040","Autosnelweg",0,0,0,0,0,1,1
"Zele","42028","Autosnelweg",1,0,0,0,0,0,1
"Zelzate","43018","Autosnelweg",0,0,2,0,0,0,2
"Zonhoven","71066","Autosnelweg",0,0,0,2,0,0,2
"Zwijndrecht","11056","Autosnelweg",1,0,0,0,0,0,1
